WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
erhoehen,1145,6,FALSE,8,7.04315991598834,German
fasen,1145,5,TRUE,5,7.04315991598834,German
Bericht,1145,6,TRUE,7,7.04315991598834,German
Telefon,1142,7,FALSE,7,7.04053639021596,German
fast,1142,4,TRUE,4,7.04053639021596,German
folgend,1138,7,TRUE,7,7.03702761468628,German
bestimmt,1137,7,TRUE,8,7.03614849375054,German
Erde,1137,4,TRUE,4,7.03614849375054,German
Grenze,1136,6,TRUE,6,7.0352685992811,German
folgen,1133,6,TRUE,6,7.03262426102801,German
geschehen,1131,6,TRUE,9,7.03085747611612,German
sonst,1129,5,TRUE,5,7.02908756414966,German
verkaufen,1123,9,FALSE,9,7.02375895473844,German
dich,1122,3,TRUE,4,7.02286808608264,German
statt,1120,4,TRUE,5,7.02108396428914,German
daher,1118,5,FALSE,5,7.01929665371504,German
Frieden,1116,6,TRUE,7,7.01750614294126,German
Tendenz,1113,7,FALSE,7,7.01481435127554,German
Situation,1112,9,FALSE,9,7.01391547481053,German
Zusammenarbeit,1110,13,TRUE,14,7.01211529430638,German
offen,1104,4,TRUE,5,7.00669522683704,German
Verhaeltnis,1098,10,FALSE,11,7.00124562206948,German
nachdem,1098,6,FALSE,7,7.00124562206948,German
Schule,1098,4,TRUE,6,7.00124562206948,German
ausserdem,1097,8,FALSE,9,7.00033446027523,German
Zusammenhang,1096,10,FALSE,12,6.99942246750796,German
entstehen,1094,8,FALSE,9,6.99759598298193,German
dadurch,1094,6,FALSE,7,6.99759598298193,German
Leute,1091,5,TRUE,5,6.99484998583307,German
Buch,1091,3,TRUE,4,6.99484998583307,German
Arzt,1085,4,TRUE,4,6.98933526597456,German
Bedeutung,1084,8,FALSE,9,6.98841318199959,German
darin,1083,5,FALSE,5,6.98749024700099,German
niemand,1083,6,TRUE,7,6.98749024700099,German
gesamt,1075,6,TRUE,6,6.98007594056176,German
ergeben,1073,7,FALSE,7,6.9782137426307,German
Gefahr,1069,5,TRUE,6,6.97447891102505,German
Minister,1068,8,TRUE,8,6.97354301952014,German
rechnen,1068,6,TRUE,7,6.97354301952014,German
rechen,1068,5,TRUE,6,6.97354301952014,German
Schritt,1063,4,TRUE,7,6.96885037834195,German
Verhandlung,1061,10,FALSE,11,6.96696713861398,German
Zeitung,1061,6,TRUE,7,6.96696713861398,German
Polizei,1058,7,FALSE,7,6.96413561241824,German
Koeln,1055,4,FALSE,5,6.96129604591017,German
richten,1052,6,TRUE,7,6.95844839329766,German
Gesetz,1049,5,FALSE,6,6.9555926083963,German
Blick,1049,4,TRUE,5,6.9555926083963,German
manch,1049,4,TRUE,5,6.9555926083963,German
Wirtschaft,1047,8,FALSE,10,6.95368421087054,German
Macht,1041,4,TRUE,5,6.94793706861497,German
erfahren,1041,7,TRUE,8,6.94793706861497,German
ebenso,1038,6,FALSE,6,6.94505106372583,German
Gott,1036,3,TRUE,4,6.94312242281943,German
halb,1035,4,TRUE,4,6.94215670569947,German
Rede,1035,4,FALSE,4,6.94215670569947,German
verlangen,1035,8,FALSE,9,6.94215670569947,German
Einheit,1034,7,FALSE,7,6.94119005506837,German
mehrere,1031,6,TRUE,7,6.93828448401696,German
deutlich,1031,7,FALSE,8,6.93828448401696,German
recht,1030,4,TRUE,5,6.93731408122368,German
Augenblick,1021,9,FALSE,10,6.92853781816467,German
Anfang,1020,5,TRUE,6,6.92755790627832,German
Tod,1019,3,TRUE,3,6.92657703322272,German
Loesung,1016,5,FALSE,7,6.92362862813843,German
einigen,1014,7,TRUE,7,6.92165818415113,German
anders,1014,6,FALSE,6,6.92165818415113,German
Diskussion,1012,9,FALSE,10,6.91968384984741,German
Rolle,1010,4,FALSE,5,6.9177056098353,German
uebernehmen,1009,9,FALSE,11,6.91671502035361,German
darum,1008,5,FALSE,5,6.91572344863131,German
menschlich,1008,7,FALSE,10,6.91572344863131,German
trotz,1007,4,TRUE,5,6.91473089271856,German
Wasser,1006,5,TRUE,6,6.91373735065968,German
Bereich,1003,6,FALSE,7,6.91075078796194,German
